เรียนเพลิน,แขวงสายไหม เขตสายไหม กรุงเทพมหานคร 10220,เขตพื้นที่การศึกษากรุงเทพมหานคร เขต 1
เสม็ดโคกตาล,ต.เสม็ด อ.เมืองบุรีรัมย์ จ.บุรีรัมย์ 31000,เขตพื้นที่การศึกษาบุรีรัมย์ เขต 1
เขว้า,ต.ปะเคียบ อ.คูเมือง จ.บุรีรัมย์ 31190,เขตพื้นที่การศึกษาบุรีรัมย์ เขต 4
เสม็ด,ต.สองชั้น อ.กระสัง จ.บุรีรัมย์ 31160,เขตพื้นที่การศึกษาบุรีรัมย์ เขต 2
เสม็ดประชาอุปถัมภ์,ต.สองชั้น อ.กระสัง จ.บุรีรัมย์ 31600,เขตพื้นที่การศึกษาบุรีรัมย์ เขต 2
เมืองไผ่,ต.เมืองไผ่ อ.กระสัง จ.บุรีรัมย์ 31160,เขตพื้นที่การศึกษาบุรีรัมย์ เขต 2
เสม็ดสามัคคีราษฎ์,ต.หนองเต็ง อ.กระสัง จ.บุรีรัมย์ 31160,เขตพื้นที่การศึกษาบุรีรัมย์ เขต 2
เสลา,ต.ชุมแสง อ.นางรอง จ.บุรีรัมย์ 31110,เขตพื้นที่การศึกษาบุรีรัมย์ เขต 3
เสลาโสรง,ต.ทรัพย์พระยา อ.นางรอง จ.บุรีรัมย์ 31110,เขตพื้นที่การศึกษาบุรีรัมย์ เขต 3
เพชรเจริญพัฒนา,ต.ท่าโพธิ์ชัย อ.หนองกี่ จ.บุรีรัมย์ 31110,เขตพื้นที่การศึกษาบุรีรัมย์ เขต 3
เทพพยัคฆ์พัฒนา,ต.ตาจง อ.ละหานทราย จ.บุรีรัมย์ 31170,เขตพื้นที่การศึกษาบุรีรัมย์ เขต 3
เขว้า,ต.ปังกู อ.ประโคนชัย จ.บุรีรัมย์,เขตพื้นที่การศึกษาบุรีรัมย์ เขต 2
เก็ม,ต.โคกย่าง อ.ประโคนชัย จ.บุรีรัมย์ 31140,เขตพื้นที่การศึกษาบุรีรัมย์ เขต 2
เกียรติเจริญ,ต.โคกม้า อ.ประโคนชัย จ.บุรีรัมย์ 31140,เขตพื้นที่การศึกษาบุรีรัมย์ เขต 2
เกษตรสมบูรณ์,ต.ตะโกตาพิ อ.ประโคนชัย จ.บุรีรัมย์ 31140,เขตพื้นที่การศึกษาบุรีรัมย์ เขต 2
เขาคอก,ต.เขาคอก อ.ประโคนชัย จ.บุรีรัมย์,เขตพื้นที่การศึกษาบุรีรัมย์ เขต 2
เขาดินใต้,ต.บ้านกรวด อ.บ้านกรวด จ.บุรีรัมย์ 31180,เขตพื้นที่การศึกษาบุรีรัมย์ เขต 2
เขาดินเหนือ,ต.เขาดินเหนือ อ.บ้านกรวด จ.บุรีรัมย์ 31180,เขตพื้นที่การศึกษาบุรีรัมย์ เขต 2
เป้า (สุทธิสารอุทิศ),ต.บ้านเป้า อ.พุทไธสง จ.บุรีรัมย์ 31120,เขตพื้นที่การศึกษาบุรีรัมย์ เขต 4
เพียแก้ว,ต.บ้านยาง อ.พุทไธสง จ.บุรีรัมย์ 31120,เขตพื้นที่การศึกษาบุรีรัมย์ เขต 4
เมืองแฝก,ต.เมืองแฝก อ.ลำปลายมาศ จ.บุรีรัมย์ 31130,เขตพื้นที่การศึกษาบุรีรัมย์ เขต 1
เมืองแก,ต.เมืองแก อ.สตึก จ.บุรีรัมย์ 31150,เขตพื้นที่การศึกษาบุรีรัมย์ เขต 4
เสม็ด,ต.ชุมแสง อ.สตึก จ.บุรีรัมย์ 31150,เขตพื้นที่การศึกษาบุรีรัมย์ เขต 4
เสม็ด(สถาปัตย์อนุสรณ์),ต.ร่อนทอง อ.สตึก จ.บุรีรัมย์ 31150,เขตพื้นที่การศึกษาบุรีรัมย์ เขต 4
เทพพัฒนา,ต.โคกมะม่วง อ.ปะคำ จ.บุรีรัมย์ 31220,เขตพื้นที่การศึกษาบุรีรัมย์ เขต 3
เสาเดียวอนุสรณ์,ต.เสาเดียว อ.หนองหงส์ จ.บุรีรัมย์ 31240,เขตพื้นที่การศึกษาบุรีรัมย์ เขต 3
เขว้าศึกษา,ต.โคกขมิ้น อ.พลับพลาชัย จ.บุรีรัมย์ 31250,เขตพื้นที่การศึกษาบุรีรัมย์ เขต 2
เสม็ด,ต.สำโรง อ.พลับพลาชัย จ.บุรีรัมย์ 31250,เขตพื้นที่การศึกษาบุรีรัมย์ เขต 2
เกต(สุตาประชาอุปถัมภ์),ต.บ้านตะโก อ.ห้วยราช จ.บุรีรัมย์ 31000,เขตพื้นที่การศึกษาบุรีรัมย์ เขต 2
