ดอนข่อย(คงสมโอษฐ์ราษฏร์บำรุง),ต.โคกม่วง อ.ภาชี จ.พระนครศรีอยุธยา 13140,เขตพื้นที่การศึกษาพระนครศรีอยุธยา เขต 1
ดินดำ,ต.ลิ้นฟ้า อ.ยางชุมน้อย จ.ศรีสะเกษ 33190,เขตพื้นที่การศึกษาศรีสะเกษ เขต 1
ดูนสิม,ต.ดูน อ.กันทรารมย์ จ.ศรีสะเกษ 33130,เขตพื้นที่การศึกษาศรีสะเกษ เขต 1
ดู่,ต.ดู่ อ.กันทรารมย์ จ.ศรีสะเกษ 33313,เขตพื้นที่การศึกษาศรีสะเกษ เขต 1
ด่าน,ต.ภูผาหมอก อ.กันทรลักษ์ จ.ศรีสะเกษ 33110,เขตพื้นที่การศึกษาศรีสะเกษ เขต 4
ดองกำเม็ด,ต.ดองกำเม็ด อ.ขุขันธ์ จ.ศรีสะเกษ 33140,เขตพื้นที่การศึกษาศรีสะเกษ เขต 3
ดองดึง,ต.ดินแดง อ.ไพรบึง จ.ศรีสะเกษ 33180,เขตพื้นที่การศึกษาศรีสะเกษ เขต 3
ดินแดง,ต.ดินแดง อ.ไพรบึง จ.ศรีสะเกษ 33180,เขตพื้นที่การศึกษาศรีสะเกษ เขต 3
ดอนหลี่,ต.สมอ อ.ปรางค์กู่ จ.ศรีสะเกษ 33170,เขตพื้นที่การศึกษาศรีสะเกษ เขต 3
ดู่,ต.ดู่ อ.ปรางค์กู่ จ.ศรีสะเกษ 33170,เขตพื้นที่การศึกษาศรีสะเกษ เขต 3
ดอนข่า,ต.พราน อ.ขุนหาญ จ.ศรีสะเกษ 33150,เขตพื้นที่การศึกษาศรีสะเกษ เขต 4
ดู่,ต.ขุนหาญ อ.ขุนหาญ จ.ศรีสะเกษ 33150,เขตพื้นที่การศึกษาศรีสะเกษ เขต 4
ดาน,ต.โนนสูง อ.ขุนหาญ จ.ศรีสะเกษ 33150,เขตพื้นที่การศึกษาศรีสะเกษ เขต 4
ดานสาขาบ้านจะกุด,ต.โนนสูง อ.ขุนหาญ จ.ศรีสะเกษ 33150,เขตพื้นที่การศึกษาศรีสะเกษ เขต 4
ดอนงูเหลือม,ต.หนองแค อ.ราษีไศล จ.ศรีสะเกษ 33210,เขตพื้นที่การศึกษาศรีสะเกษ เขต 2
ดงแดง,ต.ด่าน อ.ราษีไศล จ.ศรีสะเกษ 33160,เขตพื้นที่การศึกษาศรีสะเกษ เขต 2
ด่าน(รัฐราษฎร์พัฒนา),ต.ด่าน อ.ราษีไศล จ.ศรีสะเกษ 33160,เขตพื้นที่การศึกษาศรีสะเกษ เขต 2
ดู่ค้อ,ต.ดู่ อ.ราษีไศล จ.ศรีสะเกษ 33160,เขตพื้นที่การศึกษาศรีสะเกษ เขต 2
ดอนไม้งาม,ต.หนองหมี อ.ราษีไศล จ.ศรีสะเกษ 33160,เขตพื้นที่การศึกษาศรีสะเกษ เขต 2
ด่านนอกดง,ต.สร้างปี่ อ.ราษีไศล จ.ศรีสะเกษ 33160,เขตพื้นที่การศึกษาศรีสะเกษ เขต 2
ดินดำเหล่าเสนใต้,ต.บก อ.โนนคูณ จ.ศรีสะเกษ 33250,เขตพื้นที่การศึกษาศรีสะเกษ เขต 1
ดงยาง,ต.ธาตุ อ.วังหิน จ.ศรีสะเกษ 33270,เขตพื้นที่การศึกษาศรีสะเกษ เขต 1
ดวนใหญ่(ลีราษฎร์วัฒนา),ต.ดวนใหญ่ อ.วังหิน จ.ศรีสะเกษ 33270,เขตพื้นที่การศึกษาศรีสะเกษ เขต 1
ดอนเขียว,ต.ท่าคล้อ อ.เบญจลักษ์ จ.ศรีสะเกษ 33110,เขตพื้นที่การศึกษาศรีสะเกษ เขต 4
ดอนทัพควายครั่งน้อยโนนชาด,ต.คลีกลิ้ง อ.ศิลาลาด จ.ศรีสะเกษ 33160,เขตพื้นที่การศึกษาศรีสะเกษ เขต 2
ดงเค็งตู้,ต.หนองบัวดง อ.ศิลาลาด จ.ศรีสะเกษ 33160,เขตพื้นที่การศึกษาศรีสะเกษ เขต 2
ดอนชี,ต.หนองขอน อ.เมืองอุบลราชธานี จ.อุบลราชธานี 34000,เขตพื้นที่การศึกษาอุบลราชธานี เขต 1
ด้ามพร้า,ต.ขามใหญ่ อ.เมืองอุบลราชธานี จ.อุบลราชธานี 34000,เขตพื้นที่การศึกษาอุบลราชธานี เขต 1
ดงบัง(อาทรราษฎร์บำรุง),ต.หนองบ่อ อ.เมืองอุบลราชธานี จ.อุบลราชธานี 34000,เขตพื้นที่การศึกษาอุบลราชธานี เขต 1
ดอนโพธิ์,ต.วาริน อ.ศรีเมืองใหม่ จ.อุบลราชธานี 34250,เขตพื้นที่การศึกษาอุบลราชธานี เขต 3
ดอนน้ำคำ,ต.คำไหล อ.ศรีเมืองใหม่ จ.อุบลราชธานี,เขตพื้นที่การศึกษาอุบลราชธานี เขต 3
ดงนา,ต.หนามแท่ง อ.ศรีเมืองใหม่ จ.อุบลราชธานี 34250,เขตพื้นที่การศึกษาอุบลราชธานี เขต 3
ด่าน,ต.โขงเจียม อ.โขงเจียม จ.อุบลราชธานี 34220,เขตพื้นที่การศึกษาอุบลราชธานี เขต 3
ดงดิบ,ต.ห้วยยาง อ.โขงเจียม จ.อุบลราชธานี 34220,เขตพื้นที่การศึกษาอุบลราชธานี เขต 3
ดงแถบ,ต.ห้วยยาง อ.โขงเจียม จ.อุบลราชธานี 34220,เขตพื้นที่การศึกษาอุบลราชธานี เขต 3
ดงบาก,ต.หนองแสงใหญ่ อ.โขงเจียม จ.อุบลราชธานี 34220,เขตพื้นที่การศึกษาอุบลราชธานี เขต 3
ดงมะไฟ,ต.หนองแสงใหญ่ อ.โขงเจียม จ.อุบลราชธานี 34220,เขตพื้นที่การศึกษาอุบลราชธานี เขต 3
ดอนเชียงโท,ต.สร้างถ่อ อ.เขื่องใน จ.อุบลราชธานี 34150,เขตพื้นที่การศึกษาอุบลราชธานี เขต 1
ดงยาง,ต.ก่อเอ้ อ.เขื่องใน จ.อุบลราชธานี 34150,เขตพื้นที่การศึกษาอุบลราชธานี เขต 1
ดินดำคำไฮ,ต.ธาตุน้อย อ.เขื่องใน จ.อุบลราชธานี 34150,เขตพื้นที่การศึกษาอุบลราชธานี เขต 1
ดู่น้อย,ต.ศรีสุข อ.เขื่องใน จ.อุบลราชธานี 34150,เขตพื้นที่การศึกษาอุบลราชธานี เขต 1
ดอนม่วย,ต.กุดประทาย อ.เดชอุดม จ.อุบลราชธานี 34160,เขตพื้นที่การศึกษาอุบลราชธานี เขต 5
ดอนกลาง,ต.นากระแซง อ.เดชอุดม จ.อุบลราชธานี 34160,เขตพื้นที่การศึกษาอุบลราชธานี เขต 5
ดงขวางคำโทน,ต.นาจะหลวย อ.นาจะหลวย จ.อุบลราชธานี 34280,เขตพื้นที่การศึกษาอุบลราชธานี เขต 5
ดอนยาว,ต.บ้านตูม อ.นาจะหลวย จ.อุบลราชธานี 34280,เขตพื้นที่การศึกษาอุบลราชธานี เขต 5
ดอนชัยชนะ,ต.โสกแสง อ.นาจะหลวย จ.อุบลราชธานี 34280,เขตพื้นที่การศึกษาอุบลราชธานี เขต 5
ดวน,ต.โซง อ.น้ำยืน จ.อุบลราชธานี 34260,เขตพื้นที่การศึกษาอุบลราชธานี เขต 5
ดงกระชู,ต.ยางใหญ่ อ.น้ำยืน จ.อุบลราชธานี 34260,เขตพื้นที่การศึกษาอุบลราชธานี เขต 5
ดงเมย,ต.คอแลน อ.บุณฑริก จ.อุบลราชธานี 34230,เขตพื้นที่การศึกษาอุบลราชธานี เขต 5
ดอนงัว,ต.บ้านแมด อ.บุณฑริก จ.อุบลราชธานี 34230,เขตพื้นที่การศึกษาอุบลราชธานี เขต 5
ดอนโจด,ต.บ้านแมด อ.บุณฑริก จ.อุบลราชธานี 34230,เขตพื้นที่การศึกษาอุบลราชธานี เขต 5
ดอนทับช้าง,ต.ขุหลุ อ.ตระการพืชผล จ.อุบลราชธานี 34130,เขตพื้นที่การศึกษาอุบลราชธานี เขต 2
ดอนใหญ่,ต.ขุหลุ อ.ตระการพืชผล จ.อุบลราชธานี 34130,เขตพื้นที่การศึกษาอุบลราชธานี เขต 2
ดอนตะมุน,ต.ขามเปี้ย อ.ตระการพืชผล จ.อุบลราชธานี 34130,เขตพื้นที่การศึกษาอุบลราชธานี เขต 2
ดอนหมูวิทยา,ต.ขามเปี้ย อ.ตระการพืชผล จ.อุบลราชธานี 34130,เขตพื้นที่การศึกษาอุบลราชธานี เขต 2
